"";"GSM3143969_Infection_tot_rep1.CEL";"GSM3143970_Infection_tot_rep2.CEL";"GSM3143971_Infection_tot_rep3.CEL";"GSM3143972_Ctl_tot_rep1.CEL";"GSM3143973_Ctl_tot_rep2.CEL";"GSM3143974_Ctl_tot_rep3.CEL";"GSM3143975_Infection_poly_rep1.CEL";"GSM3143976_Infection_poly_rep2.CEL";"t";"P.Value";"adj.P.Val";"B"
"16651537";2,66651473772218;3,75874443993213;4,11409166678547;4,05622074519831;4,22008156394116;3,74012849320241;4,70755239631348;5,88847740049645;-4,494740947131;0,000737111510158847;0,0470487746769961;-0,214148155959315
"16651653";6,48082769481217;7,47829921430183;8,49558317229828;7,09452046441319;6,97635734405347;9,28044396137227;10,0687714226726;10,5058034372442;-3,86285792178167;0,00226534578512722;0,0622028995711994;-1,26729697197072
"16651737";5,04334582901903;3,70242643821903;4,01473151043718;6,35693750106793;5,17129286766715;4,88692900146825;3,58902412919891;3,39253982212647;3,85260684132241;0,00230780320110487;0,0596832627609838;-1,2945782254746
"16651767";2,85022986609554;2,77096570795202;2,74893242796403;3,27970982164776;3,90610319591105;3,66191691295254;3,60126854934911;4,02677507023559;-3,82622526658512;0,00242087423715748;0,0630511914355001;-1,32968184877225
"16651919";6,18541466052715;6,53823276690379;6,0698819277518;3,13137216725711;3,54356749623179;7,02448516613628;8,91895968345318;9,26430961957811;-5,53682965549272;0,000129429997346696;0,0062790167981844;1,36880337071043
"16651925";8,19933520105276;8,27800400467162;8,41903147452538;5,24858867108692;4,87784604426381;8,93437575602444;10,3277521450589;11,1035801276052;-5,08089998929336;0,000272011611549011;0,00869307628153995;0,638627694865554
"16651929";5,93326632941895;4,35944132120972;4,29056256223883;3,72621359976523;2,97776762805456;5,12012393546486;7,12736152556311;7,51399168582345;-3,66123398900489;0,00326963686049263;0,0675544250847493;-1,61202279284728
"16651945";3,73157284980201;3,47401430623608;4,23948194033577;2,44103246173056;2,71336887416834;2,39620151593379;2,72843861115213;2,4500181923109;3,91925460272582;0,002045724725126;0,0548417884311778;-1,24120885570097
"16651963";5,60205655623121;6,28402174686286;7,58021126403269;5,69642343254275;5,15703308274767;5,71714828531917;7,53563535624381;8,06962550922185;-5,57707680274046;0,000121386761065623;0,00619922585908366;1,43175313718998
"16651973";4,29628344282605;2,87102168307784;2,5685734699789;3,8107282456973;3,08982712681796;2,9470063604816;5,26529125516348;5,1720758577129;-4,20662983702619;0,00122293693996647;0,0539571410241518;-0,688439088486207
"16651975";2,55450741397767;2,4481043385708;2,11328252649188;2,25630923498247;2,36992947591203;1,8877291076501;4,11738630211541;3,81887114357231;-4,06441952687042;0,00157577158067344;0,058450587269748;-0,926351131318294
"16651981";5,28834743705314;5,94899560030636;6,21481922444213;3,75924546398678;4,00553611652038;6,68199861741576;8,32271110495745;8,8289344339322;-3,86675130393797;0,00224943170610736;0,0622028995711994;-1,26067366804795
"16652031";4,01205764794626;3,77198207946104;4,55311523910998;3,18795624420569;3,23197352898689;2,93674538742635;2,94825781786963;3,27116776787725;3,92200706284863;0,0020355847826562;0,0617571185799491;-1,16682612700747
"16652165";3,86226647324023;3,37491585407369;3,59314909164914;3,12979104629266;3,65903908543168;3,14424356840002;2,67099002878243;2,02506722112768;4,43321296249239;0,000820571392187355;0,0495283663371147;-0,314512965557634
