"ID_REF"	"GSM3143969"	"GSM3143970"	"GSM3143971"	"GSM3143972"	"GSM3143973"	"GSM3143974"	"GSM3143975"	"GSM3143976"	"GSM3143977"	"GSM3143978"	"GSM3143979"	"GSM3143980"
"100033804_at"	-0.020700936	-0.360067969	-0.184997057	-0.250983893	-0.245962679	-0.376572653	-0.427241249	-0.214038001	-0.315198229	-0.332954796	-0.261377376	-0.335780371
"100033805_at"	-0.115967204	-0.228591743	-0.220428449	-0.219373309	-0.061157065	-0.192596528	-0.191116989	-0.190594234	-0.199282902	-0.21430817	-0.211872783	-0.182516478
"100033806_at"	0.022540123	-0.289620645	-0.073034523	-0.201775326	-0.094240516	-0.250111856	-0.293517339	-0.058831836	-0.030826114	-0.157134483	-0.251354695	-0.135666175
"100033807_at"	-0.116608906	-0.226775403	-0.231418353	-0.1154731	-0.118804988	-0.284860725	-0.268412331	-0.141935233	-0.151168101	-0.205451235	-0.192443271	-0.217159557
"100033808_at"	-0.0229705	-0.083141412	0.060010301	-0.031713598	0.007438303	-0.0384236	-0.046376363	-0.059552896	0.112601452	0.044546358	-0.005121461	-0.013480548
"100033809_at"	0.073255278	-0.111363921	-0.088856565	-0.084449236	-0.009419978	-0.010060671	-0.113357167	-0.078125716	-0.042494273	-0.089532974	-0.035705198	-0.111630899
"100033811_at"	0.015865651	-0.073324595	-0.066305056	0.053622385	-0.082028393	-0.067358175	-0.017497105	-0.037672941	-0.054281354	0.026741865	-0.062561771	-0.004352889
"100033812_at"	-0.031646693	-0.127107602	-0.070110723	-0.040820716	0.064853447	-0.126853282	-0.225958275	-0.17742829	-0.184637831	-0.128837651	-0.12035225	-0.150090187
"100033813_at"	0.134284118	-0.205684263	-0.222858653	-0.118971183	-0.111715402	-0.133865087	-0.18654453	-0.140713987	-0.27563698	-0.033209355	-0.212544458	-0.1208313
"100033814_at"	-0.087703591	-0.083581605	-0.058527123	-0.042406432	-0.175419433	-0.143012697	-0.0741668	-0.064046725	0.016996854	-0.021198461	-0.098047513	-0.106018086
"100033815_at"	-0.133499383	-0.129829302	-0.249116583	-0.218982794	-0.190326795	-0.205952984	-0.328076812	-0.294523034	-0.270114435	-0.216891056	-0.2955647	-0.239851883
"100033820_at"	0.048573598	0.071382309	0.159399129	0.098537875	0.039829925	0.28513277	0.286980893	0.237167705	0.185352443	0.124364314	0.097072191	0.530479101
"100033821_at"	-0.112412532	0.017082216	-0.081148898	-0.016817774	-0.108656253	0.034576608	0.222100716	0.072781429	0.196447522	-0.05943444	-0.141565201	0.147004391
"100033822_at"	-0.142544449	-0.372971339	-0.135543498	-0.166404524	-0.260247615	-0.221200721	-0.270435734	-0.307361009	-0.373803396	-0.267936201	-0.372137524	-0.371692199
"100034743_at"	0.838146123	0.466773568	0.494972723	0.493744118	0.612616433	0.46452935	0.38488955	0.379082875	0.547445923	0.002862985	0.279528115	0.368123585
"100036563_at"	0.26707281	0.254218963	0.267066803	0.268738378	0.002546953	-0.020870785	0.248025028	0.169540948	0.070054013	0.43360212	0.271613703	0.095866623
"100036564_at"	-0.065445793	-0.020432496	-0.03749683	-0.069838123	-0.004127851	0.001616217	-0.029460323	-0.104525232	0.127561782	0.083936601	0.039834448	-0.069334048
